"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV27995","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella"
"ASV27998","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella"
"ASV28022","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Rugamonas"
"ASV28126","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Unclassified_Rhodocyclaceae"
"ASV28129","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Unclassified_Rhodocyclaceae"
"ASV28145","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Georgfuchsia"
"ASV28146","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Georgfuchsia"
"ASV28204","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Hydrogenophilaceae","Thiobacillus"
"ASV28207","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Hydrogenophilaceae","Thiobacillus"
"ASV28230","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20","Unclassified_TRA3-20"
"ASV28236","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20","Unclassified_TRA3-20"
"ASV28238","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20","Unclassified_TRA3-20"
"ASV28239","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20","Unclassified_TRA3-20"
"ASV28240","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20","Unclassified_TRA3-20"
"ASV28247","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20","Unclassified_TRA3-20"
"ASV28248","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20","Unclassified_TRA3-20"
